"timestamp","ip","mac","iface","note","is_spoof"

2025-10-23T10:59:43.278551,192.168.168.209,94:bb:43:b5:b9:34,en0,,0
2025-10-23T10:59:43.281304,192.168.168.52,94:bb:43:b5:b9:34,en0,,0
2025-10-23T10:59:43.282322,192.168.168.209,94:bb:43:b5:b9:34,en0,,0
2025-10-23T10:59:43.285393,192.168.168.52,94:bb:43:b5:b9:34,en0,,0
2025-10-23T10:59:52.026106,192.168.168.209,22:16:3b:e1:d0:15,en0,,0
2025-10-23T10:59:53.232199,192.168.168.209,94:bb:43:b5:b9:34,en0,,0
2025-10-23T10:59:53.255407,192.168.168.52,94:bb:43:b5:b9:34,en0,,0
2025-10-23T10:59:53.269777,192.168.168.209,94:bb:43:b5:b9:34,en0,,0
2025-10-23T10:59:53.282493,192.168.168.52,94:bb:43:b5:b9:34,en0,,0
2025-10-23T11:00:03.347699,192.168.168.209,94:bb:43:b5:b9:34,en0,,0
2025-10-23T11:00:03.349389,192.168.168.52,94:bb:43:b5:b9:34,en0,,0
2025-10-23T11:00:03.379329,192.168.168.209,94:bb:43:b5:b9:34,en0,,0
2025-10-23T11:00:03.388251,192.168.168.52,94:bb:43:b5:b9:34,en0,,0
2025-10-23T11:00:13.485684,192.168.168.209,94:bb:43:b5:b9:34,en0,,0
2025-10-23T11:00:13.487211,192.168.168.52,94:bb:43:b5:b9:34,en0,,0
2025-10-23T11:00:13.487853,192.168.168.209,94:bb:43:b5:b9:34,en0,,0
2025-10-23T11:00:13.489043,192.168.168.52,94:bb:43:b5:b9:34,en0,,0
2025-10-23T11:00:23.520208,192.168.168.209,94:bb:43:b5:b9:34,en0,,0
2025-10-23T11:00:23.521845,192.168.168.52,94:bb:43:b5:b9:34,en0,,0
2025-10-23T11:00:23.522799,192.168.168.209,94:bb:43:b5:b9:34,en0,,0
2025-10-23T11:00:23.534189,192.168.168.52,94:bb:43:b5:b9:34,en0,,0
2025-10-23T11:00:33.657879,192.168.168.209,94:bb:43:b5:b9:34,en0,,0
2025-10-23T11:00:33.659593,192.168.168.52,94:bb:43:b5:b9:34,en0,,0
2025-10-23T11:00:33.660730,192.168.168.209,94:bb:43:b5:b9:34,en0,,0
2025-10-23T11:00:33.666376,192.168.168.52,94:bb:43:b5:b9:34,en0,,0
