"timestamp","ip","mac","iface","note","is_spoof"2025-10-24T04:42:10.104507,172.19.65.1,16:d8:e4:80:e8:43,en0,,0
2025-10-24T04:42:10.224521,172.19.66.37,4e:6b:33:a3:03:90,en0,,0
2025-10-24T04:42:10.377071,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:10.528693,172.19.69.50,94:bb:43:9c:34:88,en0,,0
2025-10-24T04:42:10.598843,172.19.65.231,3e:b9:f1:d4:2a:d4,en0,,0
2025-10-24T04:42:10.650301,172.19.64.1,ae:ed:32:41:dc:00,en0,,1
2025-10-24T04:42:10.820923,172.19.69.50,94:bb:43:9c:34:88,en0,,0
2025-10-24T04:42:10.826925,172.19.73.106,34:7d:f6:ed:4d:88,en0,,0
2025-10-24T04:42:10.937598,172.19.69.50,94:bb:43:9c:34:88,en0,,0
2025-10-24T04:42:11.203822,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:11.494484,172.19.68.199,6a:d2:2a:84:02:0f,en0,,0
2025-10-24T04:42:11.742068,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:11.844504,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:11.846017,172.19.69.50,94:bb:43:9c:34:88,en0,,0
2025-10-24T04:42:12.049551,172.19.69.50,94:bb:43:9c:34:88,en0,,0
2025-10-24T04:42:12.155417,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:12.257983,172.19.69.50,94:bb:43:9c:34:88,en0,,0
2025-10-24T04:42:12.268275,172.19.65.1,16:d8:e4:80:e8:43,en0,,0
2025-10-24T04:42:12.398445,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:12.409580,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:12.765989,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:12.843536,172.19.73.106,34:7d:f6:ed:4d:88,en0,,0
2025-10-24T04:42:12.868536,172.19.65.162,5e:6c:a7:35:c5:d5,en0,,0
2025-10-24T04:42:12.919256,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:13.073620,172.19.66.142,4e:04:b6:c3:6a:7e,en0,,0
2025-10-24T04:42:13.075316,172.19.73.97,00:e9:3a:a2:f6:49,en0,,0
2025-10-24T04:42:13.482517,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:13.483053,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:13.483300,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:13.687312,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:13.797658,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:13.994153,172.19.73.97,00:e9:3a:a2:f6:49,en0,,0
2025-10-24T04:42:14.063182,172.19.66.92,e2:2b:40:d5:33:b8,en0,,0
2025-10-24T04:42:14.183425,172.19.72.154,56:80:ad:7c:d5:db,en0,,0
2025-10-24T04:42:14.462637,172.19.70.237,42:2b:94:ca:a7:20,en0,,0
2025-10-24T04:42:14.483657,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:14.483957,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:14.672185,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:14.723412,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:14.803817,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:15.019617,172.19.73.97,00:e9:3a:a2:f6:49,en0,,0
2025-10-24T04:42:15.223435,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:15.632257,172.19.66.21,12:01:ca:b6:ce:3e,en0,,0
2025-10-24T04:42:15.763300,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:15.783968,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:15.796029,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:15.940612,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:16.247135,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:16.350987,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:16.640188,172.19.71.128,56:fb:a5:fe:a9:d2,en0,,0
2025-10-24T04:42:16.642695,172.19.66.32,b2:e0:26:e1:9f:91,en0,,0
2025-10-24T04:42:16.803672,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:16.968574,172.19.73.53,06:ae:c6:d7:d1:f7,en0,,0
