ip,first_seen,last_seen,total_claims,distinct_mac_count,top_mac,top_mac_ratio,is_spoof
0.0.0.0,2025-10-24 04:42:18.192644,2025-10-24 04:43:08.576800,25,7,f0:77:c3:fc:f6:e3,0.24,1
172.19.64.1,2025-10-24 04:42:10.377071,2025-10-24 04:43:09.495516,193,1,ae:ed:32:41:dc:00,1.0,0
172.19.65.1,2025-10-24 04:42:12.268275,2025-10-24 04:42:28.228560,2,1,16:d8:e4:80:e8:43,1.0,0
172.19.65.103,2025-10-24 04:42:35.500939,2025-10-24 04:42:51.988920,2,1,1e:ec:0e:d4:be:d3,1.0,0
172.19.65.122,2025-10-24 04:43:07.857265,2025-10-24 04:43:07.857265,1,1,0e:9a:3a:76:44:6f,1.0,0
172.19.65.125,2025-10-24 04:42:28.432615,2025-10-24 04:43:01.509508,3,1,de:fa:92:c5:09:8d,1.0,0
172.19.65.133,2025-10-24 04:42:36.626061,2025-10-24 04:42:36.626061,1,1,c2:e4:a9:fb:d1:59,1.0,0
172.19.65.151,2025-10-24 04:42:50.143264,2025-10-24 04:42:50.143264,1,1,f6:7b:36:7a:2d:de,1.0,0
172.19.65.162,2025-10-24 04:42:12.868536,2025-10-24 04:42:40.618347,2,1,5e:6c:a7:35:c5:d5,1.0,0
172.19.65.20,2025-10-24 04:43:05.297126,2025-10-24 04:43:05.297126,1,1,92:1b:a4:63:63:06,1.0,0
172.19.65.228,2025-10-24 04:42:19.934505,2025-10-24 04:42:54.649561,4,1,e2:d4:e4:d3:e3:39,1.0,0
172.19.65.231,2025-10-24 04:42:10.598843,2025-10-24 04:43:06.836537,4,1,3e:b9:f1:d4:2a:d4,1.0,0
172.19.65.247,2025-10-24 04:42:59.256147,2025-10-24 04:42:59.256147,1,1,1a:bc:8d:d2:f6:93,1.0,0
172.19.65.35,2025-10-24 04:42:40.726042,2025-10-24 04:42:40.726042,1,1,be:d2:63:d7:c4:d6,1.0,0
172.19.65.47,2025-10-24 04:43:06.384533,2025-10-24 04:43:06.384533,1,1,52:4b:86:82:0f:0d,1.0,0
172.19.65.88,2025-10-24 04:43:08.782827,2025-10-24 04:43:08.782827,1,1,f8:89:d2:15:50:f9,1.0,0
172.19.66.132,2025-10-24 04:42:28.330625,2025-10-24 04:42:28.330625,1,1,02:44:a1:a4:b2:0b,1.0,0
172.19.66.142,2025-10-24 04:42:13.073620,2025-10-24 04:42:41.847233,2,1,4e:04:b6:c3:6a:7e,1.0,0
172.19.66.172,2025-10-24 04:43:07.141099,2025-10-24 04:43:07.141099,1,1,8e:e3:b7:99:a3:4f,1.0,0
172.19.66.184,2025-10-24 04:42:22.802732,2025-10-24 04:42:22.802732,1,1,ea:35:28:3a:cf:e7,1.0,0
172.19.66.186,2025-10-24 04:43:03.556521,2025-10-24 04:43:03.556521,1,1,9e:c0:6e:a6:9b:de,1.0,0
172.19.66.197,2025-10-24 04:42:39.391240,2025-10-24 04:42:54.749961,2,1,62:51:bb:f0:8e:a0,1.0,0
172.19.66.21,2025-10-24 04:42:15.632257,2025-10-24 04:42:21.366503,2,1,12:01:ca:b6:ce:3e,1.0,0
172.19.66.220,2025-10-24 04:42:20.138541,2025-10-24 04:42:20.138541,1,1,46:ce:8c:61:3f:bb,1.0,0
172.19.66.32,2025-10-24 04:42:16.642695,2025-10-24 04:42:16.642695,1,1,b2:e0:26:e1:9f:91,1.0,0
172.19.66.37,2025-10-24 04:42:10.224521,2025-10-24 04:42:36.216236,2,1,4e:6b:33:a3:03:90,1.0,0
172.19.66.49,2025-10-24 04:43:07.447723,2025-10-24 04:43:07.447723,1,1,fa:97:e7:73:af:7a,1.0,0
172.19.66.92,2025-10-24 04:42:14.063182,2025-10-24 04:42:45.639250,3,1,e2:2b:40:d5:33:b8,1.0,0
